datetime,activityCalories
2019-01-01T22:59:59Z,708
2019-01-02T22:59:59Z,1389
2019-01-03T22:59:59Z,898
2019-01-04T22:59:59Z,991
2019-01-05T22:59:59Z,579
2019-01-06T22:59:59Z,1687
2019-01-07T22:59:59Z,1157
2019-01-08T22:59:59Z,1671
2019-01-09T22:59:59Z,1786
2019-01-10T22:59:59Z,1410
2019-01-11T22:59:59Z,1767
2019-01-12T22:59:59Z,2510
2019-01-13T22:59:59Z,2321
2019-01-14T22:59:59Z,2304
2019-01-15T22:59:59Z,1729
2019-01-16T22:59:59Z,1260
2019-01-17T22:59:59Z,2344
2019-01-18T22:59:59Z,1219
2019-01-19T22:59:59Z,959
2019-01-20T22:59:59Z,2902
2019-01-21T22:59:59Z,2286
2019-01-22T22:59:59Z,1054
2019-01-23T22:59:59Z,1065
2019-01-24T22:59:59Z,1089
2019-01-25T22:59:59Z,1721
2019-01-26T22:59:59Z,2438
2019-01-27T22:59:59Z,1757
2019-01-28T22:59:59Z,2534
2019-01-29T22:59:59Z,1418
2019-01-30T22:59:59Z,1141
2019-01-31T22:59:59Z,1793
2019-02-01T22:59:59Z,1418
2019-02-02T22:59:59Z,2640
2019-02-03T22:59:59Z,1957
2019-02-04T22:59:59Z,1354
2019-02-05T22:59:59Z,2024
2019-02-06T22:59:59Z,2136
2019-02-07T22:59:59Z,1436
2019-02-08T22:59:59Z,2512
2019-02-09T22:59:59Z,1008
2019-02-10T22:59:59Z,1996
2019-02-11T22:59:59Z,1767
2019-02-12T22:59:59Z,2833
2019-02-13T22:59:59Z,1465
2019-02-14T22:59:59Z,1746
2019-02-15T22:59:59Z,3052
2019-02-16T22:59:59Z,1345
2019-02-17T22:59:59Z,3239
2019-02-18T22:59:59Z,1881
2019-02-19T22:59:59Z,1458
2019-02-20T22:59:59Z,2022
2019-02-21T22:59:59Z,1348
2019-02-22T22:59:59Z,2862
2019-02-23T22:59:59Z,3085
2019-02-24T22:59:59Z,1669
2019-02-25T22:59:59Z,1480
2019-02-26T22:59:59Z,2616
2019-02-27T22:59:59Z,1437
2019-02-28T22:59:59Z,1992
2019-03-01T22:59:59Z,1648
2019-03-02T22:59:59Z,3869
2019-03-03T22:59:59Z,1283
2019-03-04T22:59:59Z,889
2019-03-05T22:59:59Z,1769
2019-03-06T22:59:59Z,2010
2019-03-07T22:59:59Z,2109
2019-03-08T22:59:59Z,2541
2019-03-09T22:59:59Z,1043
2019-03-10T22:59:59Z,2163
2019-03-11T22:59:59Z,998
2019-03-12T22:59:59Z,1458
2019-03-13T22:59:59Z,1335
2019-03-14T22:59:59Z,1033
2019-03-15T22:59:59Z,1358
2019-03-16T22:59:59Z,1174
2019-03-17T22:59:59Z,2440
2019-03-18T22:59:59Z,1443
2019-03-19T22:59:59Z,2187
2019-03-20T22:59:59Z,2165
2019-03-21T22:59:59Z,979
2019-03-22T22:59:59Z,2817
2019-03-23T22:59:59Z,1284
2019-03-24T22:59:59Z,3116
2019-03-25T22:59:59Z,1821
2019-03-26T22:59:59Z,2218
2019-03-27T22:59:59Z,1799
2019-03-28T22:59:59Z,1176
2019-03-29T22:59:59Z,2470
2019-03-30T22:59:59Z,2611
2019-03-31T22:59:59Z,2287
2019-04-01T21:59:59Z,1392
2019-04-02T21:59:59Z,2111
2019-04-03T21:59:59Z,1400
2019-04-04T21:59:59Z,1678
2019-04-05T21:59:59Z,2995
2019-04-06T21:59:59Z,1384
2019-04-07T21:59:59Z,3619
2019-04-08T21:59:59Z,1276
2019-04-09T21:59:59Z,1778
2019-04-10T21:59:59Z,1149
2019-04-11T21:59:59Z,2736
2019-04-12T21:59:59Z,4371
2019-04-13T21:59:59Z,1081
2019-04-14T21:59:59Z,2345
2019-04-15T21:59:59Z,2278
2019-04-16T21:59:59Z,2256
2019-04-17T21:59:59Z,1451
2019-04-18T21:59:59Z,1092
2019-04-19T21:59:59Z,2500
2019-04-20T21:59:59Z,1912
2019-04-21T21:59:59Z,2058
2019-04-22T21:59:59Z,3165
2019-04-23T21:59:59Z,2753
2019-04-24T21:59:59Z,2283
2019-04-25T21:59:59Z,2794
2019-04-26T21:59:59Z,2273
2019-04-27T21:59:59Z,2805
2019-04-28T21:59:59Z,455
2019-04-29T21:59:59Z,2082
2019-04-30T21:59:59Z,1829
2019-05-01T21:59:59Z,1972
2019-05-02T21:59:59Z,2252
2019-05-03T21:59:59Z,2396
2019-05-04T21:59:59Z,1563
2019-05-05T21:59:59Z,2814
2019-05-06T21:59:59Z,1148
2019-05-07T21:59:59Z,2081
2019-05-08T21:59:59Z,1356
2019-05-09T21:59:59Z,2296
2019-05-10T21:59:59Z,343
