datetime,caloriesBMR
2019-01-01T22:59:59Z,1885
2019-01-02T22:59:59Z,1885
2019-01-03T22:59:59Z,1885
2019-01-04T22:59:59Z,1885
2019-01-05T22:59:59Z,1885
2019-01-06T22:59:59Z,1885
2019-01-07T22:59:59Z,1880
2019-01-08T22:59:59Z,1873
2019-01-09T22:59:59Z,1863
2019-01-10T22:59:59Z,1860
2019-01-11T22:59:59Z,1858
2019-01-12T22:59:59Z,1857
2019-01-13T22:59:59Z,1857
2019-01-14T22:59:59Z,1856
2019-01-15T22:59:59Z,1856
2019-01-16T22:59:59Z,1853
2019-01-17T22:59:59Z,1858
2019-01-18T22:59:59Z,1852
2019-01-19T22:59:59Z,1850
2019-01-20T22:59:59Z,1849
2019-01-21T22:59:59Z,1849
2019-01-22T22:59:59Z,1846
2019-01-23T22:59:59Z,1846
2019-01-24T22:59:59Z,1846
2019-01-25T22:59:59Z,1846
2019-01-26T22:59:59Z,1846
2019-01-27T22:59:59Z,1846
2019-01-28T22:59:59Z,1846
2019-01-29T22:59:59Z,1846
2019-01-30T22:59:59Z,1845
2019-01-31T22:59:59Z,1845
2019-02-01T22:59:59Z,1845
2019-02-02T22:59:59Z,1841
2019-02-03T22:59:59Z,1839
2019-02-04T22:59:59Z,1836
2019-02-05T22:59:59Z,1839
2019-02-06T22:59:59Z,1841
2019-02-07T22:59:59Z,1840
2019-02-08T22:59:59Z,1839
2019-02-09T22:59:59Z,1839
2019-02-10T22:59:59Z,1838
2019-02-11T22:59:59Z,1838
2019-02-12T22:59:59Z,1838
2019-02-13T22:59:59Z,1838
2019-02-14T22:59:59Z,1838
2019-02-15T22:59:59Z,1838
2019-02-16T22:59:59Z,1834
2019-02-17T22:59:59Z,1830
2019-02-18T22:59:59Z,1830
2019-02-19T22:59:59Z,1830
2019-02-20T22:59:59Z,1831
2019-02-21T22:59:59Z,1831
2019-02-22T22:59:59Z,1831
2019-02-23T22:59:59Z,1828
2019-02-24T22:59:59Z,1824
2019-02-25T22:59:59Z,1833
2019-02-26T22:59:59Z,1833
2019-02-27T22:59:59Z,1824
2019-02-28T22:59:59Z,1820
2019-03-01T22:59:59Z,1816
2019-03-02T22:59:59Z,1819
2019-03-03T22:59:59Z,1822
2019-03-04T22:59:59Z,1813
2019-03-05T22:59:59Z,1808
2019-03-06T22:59:59Z,1816
2019-03-07T22:59:59Z,1812
2019-03-08T22:59:59Z,1815
2019-03-09T22:59:59Z,1812
2019-03-10T22:59:59Z,1812
2019-03-11T22:59:59Z,1811
2019-03-12T22:59:59Z,1804
2019-03-13T22:59:59Z,1800
2019-03-14T22:59:59Z,1805
2019-03-15T22:59:59Z,1803
2019-03-16T22:59:59Z,1804
2019-03-17T22:59:59Z,1801
2019-03-18T22:59:59Z,1802
2019-03-19T22:59:59Z,1798
2019-03-20T22:59:59Z,1804
2019-03-21T22:59:59Z,1805
2019-03-22T22:59:59Z,1799
2019-03-23T22:59:59Z,1790
2019-03-24T22:59:59Z,1799
2019-03-25T22:59:59Z,1799
2019-03-26T22:59:59Z,1802
2019-03-27T22:59:59Z,1805
2019-03-28T22:59:59Z,1793
2019-03-29T22:59:59Z,1792
2019-03-30T22:59:59Z,1785
2019-03-31T22:59:59Z,1792
2019-04-01T21:59:59Z,1799
2019-04-02T21:59:59Z,1802
2019-04-03T21:59:59Z,1792
2019-04-04T21:59:59Z,1788
2019-04-05T21:59:59Z,1784
2019-04-06T21:59:59Z,1781
2019-04-07T21:59:59Z,1782
2019-04-08T21:59:59Z,1782
2019-04-09T21:59:59Z,1782
2019-04-10T21:59:59Z,1782
2019-04-11T21:59:59Z,1782
2019-04-12T21:59:59Z,1781
2019-04-13T21:59:59Z,1779
2019-04-14T21:59:59Z,1787
2019-04-15T21:59:59Z,1783
2019-04-16T21:59:59Z,1789
2019-04-17T21:59:59Z,1790
2019-04-18T21:59:59Z,1786
2019-04-19T21:59:59Z,1785
2019-04-20T21:59:59Z,1781
2019-04-21T21:59:59Z,1791
2019-04-22T21:59:59Z,1787
2019-04-23T21:59:59Z,1785
2019-04-24T21:59:59Z,1785
2019-04-25T21:59:59Z,1784
2019-04-26T21:59:59Z,1779
2019-04-27T21:59:59Z,1777
2019-04-28T21:59:59Z,1780
2019-04-29T21:59:59Z,1785
2019-04-30T21:59:59Z,1782
2019-05-01T21:59:59Z,1786
2019-05-02T21:59:59Z,1782
2019-05-03T21:59:59Z,1774
2019-05-04T21:59:59Z,1778
2019-05-05T21:59:59Z,1777
