date,rest_hr,zone,max_hr,min_hr,minutes,cal_out
2018-12-31T23:00:00Z,59,Out of Range,98,30,610,1331
2018-12-31T23:00:00Z,59,Fat Burn,137,98,20,141
2018-12-31T23:00:00Z,59,Cardio,166,137,0,0
2018-12-31T23:00:00Z,59,Peak,220,166,0,0
2019-01-01T23:00:00Z,58,Out of Range,98,30,809,1522
2019-01-01T23:00:00Z,58,Fat Burn,137,98,50,380
2019-01-01T23:00:00Z,58,Cardio,166,137,30,444
2019-01-01T23:00:00Z,58,Peak,220,166,3,48
2019-01-02T23:00:00Z,58,Out of Range,98,30,900,1734
2019-01-02T23:00:00Z,58,Fat Burn,137,98,31,238
2019-01-02T23:00:00Z,58,Cardio,166,137,0,0
2019-01-02T23:00:00Z,58,Peak,220,166,0,0
2019-01-03T23:00:00Z,58,Out of Range,98,30,927,1826
2019-01-03T23:00:00Z,58,Fat Burn,137,98,29,238
2019-01-03T23:00:00Z,58,Cardio,166,137,0,0
2019-01-03T23:00:00Z,58,Peak,220,166,0,0
2019-01-04T23:00:00Z,57,Out of Range,98,30,350,849
2019-01-04T23:00:00Z,57,Fat Burn,137,98,10,66
2019-01-04T23:00:00Z,57,Cardio,166,137,0,0
2019-01-04T23:00:00Z,57,Peak,220,166,0,0
2019-01-05T23:00:00Z,59,Out of Range,98,30,537,1356
2019-01-05T23:00:00Z,59,Fat Burn,137,98,58,362
2019-01-05T23:00:00Z,59,Cardio,166,137,8,122
2019-01-05T23:00:00Z,59,Peak,220,166,27,459
2019-01-06T23:00:00Z,59,Out of Range,98,30,907,1777
2019-01-06T23:00:00Z,59,Fat Burn,137,98,62,480
2019-01-06T23:00:00Z,59,Cardio,166,137,0,0
2019-01-06T23:00:00Z,59,Peak,220,166,0,0
2019-01-07T23:00:00Z,59,Out of Range,98,30,875,1745
2019-01-07T23:00:00Z,59,Fat Burn,137,98,126,998
2019-01-07T23:00:00Z,59,Cardio,166,137,0,0
2019-01-07T23:00:00Z,59,Peak,220,166,0,0
2019-01-08T23:00:00Z,59,Out of Range,98,30,863,1995
2019-01-08T23:00:00Z,59,Fat Burn,137,98,110,776
2019-01-08T23:00:00Z,59,Cardio,166,137,1,11
2019-01-08T23:00:00Z,59,Peak,220,166,0,0
2019-01-09T23:00:00Z,58,Out of Range,98,30,871,1749
2019-01-09T23:00:00Z,58,Fat Burn,137,98,75,618
2019-01-09T23:00:00Z,58,Cardio,166,137,2,23
2019-01-09T23:00:00Z,58,Peak,220,166,0,0
2019-01-10T23:00:00Z,58,Out of Range,98,30,931,2279
2019-01-10T23:00:00Z,58,Fat Burn,137,98,62,435
2019-01-10T23:00:00Z,58,Cardio,166,137,0,0
2019-01-10T23:00:00Z,58,Peak,220,166,0,0
2019-01-11T23:00:00Z,57,Out of Range,98,30,790,2315
2019-01-11T23:00:00Z,57,Fat Burn,137,98,116,829
2019-01-11T23:00:00Z,57,Cardio,166,137,0,0
2019-01-11T23:00:00Z,57,Peak,220,166,0,0
2019-01-12T23:00:00Z,58,Out of Range,98,30,485,1405
